                  0(0),       2(1),      1(2),     3(3),      4(4),      6(5),      7(6),     8(7),     10(8),      11(9),     9(10),     5(11),    12(12),   15(13),    16(14),     18(15),   19(16),    20(17),    22(18),    23(19),    24(20),    21(21),    14(22),    32(23),    33(24),    17(25),    30(26),    31(27),    13(28),    25(29),     26(30),    27(31),    28(32),    29(33),
                     ,          a,         n,       ssa,       sta,       lla,       lta,      lle,       ksi,        tta,        na,         n,         t,     issa,      ista,       illa,     ilta,      ille,      iksi,      itta,        in,       ina,         a,        ja,       ita,        in,        in,      ihin,        en,        en,       iden,     itten,        in,       ten,
                  ilo,       iloa,      ilon,    ilossa,    ilosta,    ilolla,    ilolta,   ilolle,    iloksi,     ilotta,     ilona,     iloon,      ilot,  iloissa,   iloista,    iloilla,  iloilta,   iloille,   iloiksi,   iloitta,     iloin,    iloina,     omenia ,     iloja,  omenoita,   omeniin,     uniin,   iloihin,    ilojen,    ilojen,  omenoiden,omenoitten,  ulappain,     unten,
               NNomSg,     NParSg,    NGenSg,    NIneSg,    NElaSg,    NAdeSg,    NAblSg,   NAllSg,    NTraSg,     NAbeSg,    NEssSg,    NIllSg,    NNomPl,   NInePl,    NElaPl,     NAdePl,   NAblPl,    NAllPl,    NTraPl,    NAbePl,    NInsPl,    NEssPl,    NParPl,    NParPl,    NParPl,    NIllPl,    NIllPl,    NIllPl,    NGenPl,    NGenPl,     NGenPl,    NGenPl,    NGenPl,    NGenPl,
34    hapan,         n,        nt,        ma,        ma,        ma,        ma,        ma,        ma,        ma,        ma,        ma,       maa,        ma,         m,         m,         m,         m,         m,         m,         m,         m,         m,        mi,         !,         !,        mi,         !,         !,        mi,         !,         !,         !,         !,         n,
35   lämmin,         n,        nt,        ma,        ma,        ma,        ma,        ma,        ma,        ma,        ma,        ma,       maa,        ma,         m,         m,         m,         m,         m,         m,         m,         m,         m,        mi,         !,         !,        mi,         !,         !,        mi,         !,         !,         !,        ma,         n,
36     alin,         n,        nt,       mma,       mma,       mma,       mma,       mma,       mma,       mma,       mma,       mpa,      mpaa,       mma,        mm,        mm,        mm,        mm,        mm,        mm,        mm,        mm,        mp,       mpi,         !,         !,       mpi,         !,         !,       mpi,         !,         !,         !,       mpa,         n,
37    vasen,         n,        nt,       mma,       mma,       mma,       mma,       mma,       mma,       mma,       mma,       mpa,      mpaa,       mma,        mm,        mm,        mm,        mm,        mm,        mm,        mm,        mm,        mp,       mpi,         !,         !,       mpi,         !,         !,       mpi,         !,         !,         !,       mpa,         n,
38    öinen,       nen,        st,        se,        se,        se,        se,        se,        se,        se,        se,        se,       see,        se,         s,         s,         s,         s,         s,         s,         s,         s,         s,        si,         !,         !,        si,         !,         !,        si,         !,         !,         !,         !,         s,
39     ajos,         s,        st,       kse,       kse,       kse,       kse,       kse,       kse,       kse,       kse,       kse,      ksee,       kse,        ks,        ks,        ks,        ks,        ks,        ks,        ks,        ks,        ks,       ksi,         !,         !,       ksi,         !,         !,       ksi,         !,         !,         !,         !,         s,
40    etuus,         s,        tt,        de,        de,        de,        de,        de,        de,        de,        de,        te,       tee,        de,        ks,        ks,        ks,        ks,        ks,        ks,        ks,        ks,        ks,       ksi,         !,         !,       ksi,         !,         !,       ksi,         !,         !,         !,         !,         !,
41    rakas,         s,        st,         *,         *,         *,         *,         *,         *,         *,         *,         *,      see*,         *,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,         !,          ,       isi,         !,         !,         !,         !,          ,          ,         !,         !,
42     mies,         s,        st,        he,        he,        he,        he,        he,        he,        he,        he,        he,       hee,        he,         h,         h,         h,         h,         h,         h,         h,         h,         h,        hi,         !,         !,        hi,         !,         !,        hi,         !,         !,         !,         !,         s,
43    immyt,         t,        tt,         e,         e,         e,         e,         e,         e,         e,         e,         e,        ee,         e,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,         !,          ,       isi,         !,          ,         !,         !,          ,          ,         !,         !,
44    kevät,         t,        tt,         a,         a,         a,         a,         a,         a,         a,         a,         a,      asee,         a,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,         !,          ,       isi,         !,          ,         !,         !,          ,          ,         !,         !,
45    sadas,         s,        tt,       nne,       nne,       nne,       nne,       nne,       nne,       nne,       nne,       nte,      ntee,       nne,        ns,        ns,        ns,        ns,        ns,        ns,        ns,        ns,        ns,       nsi,         !,         !,       nsi,         !,         !,       nsi,         !,         !,         !,         !,         !,
46    tuhat,         t,        tt,       nne,       nne,       nne,       nne,       nne,       nne,       nne,       nne,       nte,      ntee,       nne,        ns,        ns,        ns,        ns,        ns,        ns,        ns,        ns,        ns,       nsi,         !,         !,       nsi,         !,        ns,       nsi,         !,         !,         !,         !,         n,
47   mennyt,         t,        tt,       ee-,       ee-,       ee-,       ee-,       ee-,       ee-,       ee-,       ee-,       ee-,    eesee-,       ee-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,         !,         !,        e-,     eisi-,         !,        e-,         !,         !,        e-,        e-,         !,         !,
48     hake,          ,        tt,         *,         *,         *,         *,         *,         *,         *,         *,         *,      see*,         *,          ,          ,          ,          ,          ,          ,          ,          ,          ,         !,         !,          ,       isi,         !,         !,         !,         !,          ,          ,         !,         !,
49   kinner,          ,         t,        ee,        ee,        ee,        ee,        ee,        ee,        ee,        ee,        ee,     eesee,        ee,          ,          ,          ,          ,          ,          ,          ,          ,          ,         i,         !,         e,      eisi,          !,         e,         !,         i,         e,         e,         !,          ,
